pregunta;respuesta1;respuesta2;respuesta3;respuesta4;indice_correcta;competencias_especificas;criterios;saberes;descriptores;imagen;feedback_explicacion
¿Qué es la electricidad?;Una forma de energía producida por el movimiento de electrones.;Una forma de energía producida por el movimiento de protones.;Una forma de energía producida por el movimiento de neutrones.;Una forma de energía producida por el movimiento de aislantes.;1;CE1;CEV1.2;TYD.3.A.3;STEM2;;La electricidad se define como un fenómeno físico originado por el movimiento de cargas eléctricas, específicamente los electrones, a través de un material conductor.
¿Por qué los diodos LED son la base de la iluminación moderna?;Porque brillan en muchos colores.;Porque son muy eficientes.;Porque funcionan con Corriente Alterna (CA).;Porque pueden usarse como interruptores.;2;CE7;CEV7.1;TYD.3.E.1;STEM2,STEM5,CC4;led_iluminacion.jpg;Los LEDs han revolucionado la iluminación porque son mucho más eficientes: producen la misma luz que una bombilla tradicional pero consumiendo mucha menos energía y durando miles de horas más.
Según las normas de seguridad, ¿qué se debe hacer SIEMPRE antes de manipular un circuito?;Asegurarse de que el voltaje sea bajo.;Usar guantes de goma.;Desconectar la alimentación.;Verificar la polaridad de los LEDs.;3;CE1;CEV1.3;TYD.3.A.4;STEM2;;"Es la norma de seguridad más fundamental. Manipular un circuito con la alimentación conectada (""en caliente"") puede causar un cortocircuito, dañar componentes o provocar una descarga eléctrica."
¿Cuál de estos materiales es considerado un semiconductor?;El cobre.;El plástico.;El silicio.;El aire.;3;CE3;CEV3.1;TYD.3.A.3;STEM2;;"El silicio es el material semiconductor más utilizado; su conductividad está entre la de un conductor (como el cobre) y un aislante (como el plástico)."
¿Qué es un circuito eléctrico?;Un camino abierto por el que circulan protones.;Un camino cerrado por el que circulan electrones.;Un camino abierto por el que circulan electrones.;Un camino cerrado por el que circulan protones.;2;CE1;CEV1.2;TYD.3.A.3;STEM2;;Un circuito eléctrico es, por definición, una ruta o camino cerrado por el cual los electrones pueden fluir de forma continua desde un polo de una fuente (pila) al otro.
En la simbología de circuitos, ¿qué representa el símbolo de una línea ondulada (~)?;Corriente continua (CC).;Corriente alterna (CA).;Una resistencia.;Una pila o batería.;2;CE1;CEV1.2;TYD.3.A.3;STEM2;;En la simbología eléctrica normalizada, la línea ondulada (~) representa la Corriente Alterna (CA), que cambia de polaridad. La Corriente Continua (CC) se representa con una línea recta.
"¿Cuál es la ""Regla de Oro"" para conectar un diodo LED?";Un LED siempre va con una resistencia.;Un LED solo funciona en serie.;Un LED solo funciona con Corriente Alterna (CA).;Un LED debe conectarse siempre en paralelo.;1;CE1;CEV1.3;TYD.3.A.4;STEM2;led.png;Un LED tiene muy poca resistencia interna. Conectarlo directamente a una fuente de voltaje (incluso una pila) lo quemaría. Siempre necesita una resistencia en serie para limitar la corriente que pasa por él.
Si una pila de 9 Voltios (V=9V) se conecta a una resistencia de 3 Ohmios (R=3Ω), ¿qué intensidad de corriente circula?;27 Amperios (A).;3 Amperios (A).;0,33 Amperios (A).;12 Amperios (A).;2;CE1;CEV1.2;TYD.3.A.3;STEM2;;Aplicando la Ley de Ohm (V=I·R), despejamos la intensidad: I = V / R. Por lo tanto, I = 9V / 3Ω = 3A.
En un circuito, ¿qué magnitud eléctrica se mide en Amperios (A)?;El Voltaje (V).;La Resistencia (R).;La Intensidad (I).;La Potencia (P).;3;CE1;CEV1.2;TYD.3.A.3;STEM2;;La Intensidad (I) mide la cantidad de carga (electrones) que fluye por un punto en un segundo, y su unidad es el Amperio (A). El Voltaje se mide en Voltios (V) y la Resistencia en Ohmios (Ω).
¿En qué unidad se mide la Potencia Eléctrica (P)?;Amperios (A).;Voltios (V).;Ohmios (Ω).;Vatios (W).;4;CE1;CEV1.2;TYD.3.A.3;STEM2;;La Potencia (P), que mide la energía consumida por segundo, se mide en Vatios (W) o Watts. Amperios (A) es para Intensidad, Voltios (V) para Voltaje y Ohmios (Ω) para Resistencia.
