pregunta;respuesta1;respuesta2;respuesta3;respuesta4;indice_correcta;competencias_especificas;criterios;saberes;descriptores;imagen;feedback_explicacion
"¿Cuál es la unidad de intensidad en el SI?";"Amperio (A)";"Voltio (V)";"Ohmio (Ω)";"Vatio (W)";1;"CE1,CE3";"CR1.1,CR3.2";"Electricidad básica";"STEM1,CD1";;"El Amperio (A) es la unidad fundamental de la corriente eléctrica en el Sistema Internacional."
"Según la Ley de Ohm, V = ?";"I/R";"R/I";"I·R";"P/I";3;"CE1,CE2";"CR1.2,CR2.1";"Ley de Ohm";"STEM2";ohm.png;"La Ley de Ohm establece que la diferencia de potencial (V) es igual al producto de la intensidad (I) por la resistencia (R)."
"En serie, la corriente que circula es:";"Diferente en cada componente";"La misma en todos";"Cero";"Depende solo de la fuente";2;"CE1";"CR1.3";"Circuitos serie y paralelo";"STEM1";;"En un circuito en serie, solo hay un camino para la corriente, por lo que su valor es constante en todos los componentes."
"En paralelo, la tensión en cada rama es:";"La misma";"La suma de corrientes";"La suma de resistencias";"Nula";1;"CE1";"CR1.3";"Circuitos serie y paralelo";"STEM1";;"En un circuito en paralelo, todos los componentes están conectados a los mismos dos puntos, por lo que la tensión es la misma para todos."
"Si R=10 Ω e I=0,5 A, V es:";"2 V";"5 V";"10 V";"20 V";2;"CE2,CE3";"CR2.2";"Ley de Ohm";"STEM2";;"Aplicando la Ley de Ohm (V = I·R), V = 0,5 A · 10 Ω = 5 V."
"Instrumento para medir corriente:";"Voltímetro";"Amperímetro";"Ohmímetro";"Osciloscopio";2;"CE3";"CR3.1";"Instrumentos de medida";"STEM2";dispo1.jpg;"El amperímetro se conecta en serie en el circuito para medir la intensidad de la corriente que lo atraviesa."
"Un LED requiere:";"Polaridad y resistencia limitadora";"Conexión directa a 9 V";"No tiene polaridad";"Es un sensor";1;"CE3,CE4";"CR3.3,CR4.1";"Electrónica básica, Componentes electrónicos";"STEM2,CD1";led.png;"Un LED tiene polaridad (ánodo y cátodo) y necesita una resistencia para limitar la corriente y evitar que se queme por exceso de intensidad."
"¿Cuál es la fórmula para calcular la potencia eléctrica (P)?";"P = V·R";"P = I·R";"P = V/I";"P = V·I";4;"CE1,CE2";"CR1.1,CR2.2";"Potencia eléctrica";"STEM2";;"La potencia eléctrica (P) se calcula como el producto de la tensión (V) por la intensidad (I)."
"La resistencia equivalente en un circuito serie es:";"La suma de los inversos de cada resistencia";"El inverso de la suma de los inversos";"La suma de todas las resistencias";"Siempre la menor resistencia";3;"CE1";"CR1.3";"Circuitos serie y paralelo";"STEM1";;"En un circuito en serie, la resistencia total se obtiene sumando los valores de cada una de las resistencias (R_eq = R1 + R2 + ...)."
"El componente electrónico que almacena energía en forma de campo eléctrico es el:";"Resistor";"Inductor";"Condensador";"Diodo";3;"CE4";"CR4.1,CR4.2";"Componentes electrónicos";"STEM2,CD1";;"El condensador (o capacitor) almacena energía eléctrica en un campo eléctrico entre dos placas conductoras."
